Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
287,Magnolia Elementary School District,19.21,"$12,723","$59,597"
288,FRank*lin Elementary School District,19.21,"$9,167","$78,500"
289,Carlsbad Unified School District,19.25,"$10,420","$98,904"
290,Glendora Unified School District,19.26,"$10,953","$96,081"
291,Washington Unified School District,19.31,"$11,767","$64,611"
292,Williams Unified School District,19.33,"$12,251","$62,024"
293,Alta Dutch Flat Union Elementary School District,19.51,"$12,294","$61,667"
294,Norris Elementary School District,19.74,"$8,359","$110,208"
295,Natomas Unified School District,19.99,"$9,532","$76,009"
296,Twin Hills Union Elementary School District,20.09,"$10,473","$99,216"
297,Sierra Plumas Joint Unified School District,20.16,"$14,504","$49,464"
298,Oak View Elementary School District,20.22,"$9,759","$74,643"
299,Maxwell Unified School District,20.26,"$12,410","$60,526"
300,Fruitvale Elementary School District,20.29,"$9,735","$74,722"
301,Paso Robles Joint Unified School District,20.3,"$11,612","$64,740"
302,South Pasadena Unified School District,20.34,"$11,002","$96,579"
303,Grossmont Union High School District,20.37,"$10,759","$69,219"
304,Denair Unified School District,20.63,"$12,908","$86,652"
305,Vallejo City Unified School District,20.69,"$11,239","$66,446"
306,Penn Valley Union Elementary School District,20.75,"$11,909","$62,843"
307,Soledad Unified School District,20.77,"$12,754","$58,333"
308,Bellflower Unified School District,20.79,"$12,198","$61,277"
309,Summerville Elementary School District,20.81,"$10,650","$69,489"
310,Robla Elementary School District,20.81,"$13,441","$54,652"
311,Culver City Unified School District,20.83,"$12,209","$90,510"
312,Saucelito Elementary School District,21.07,"$13,953","$51,750"
313,FRank*lin Mckinley Elementary Sch,21.09,"$10,086","$72,292"
314,Solvang Elementary School District,21.15,"$9,013","$77,955"
315,Bella Vista Elementary School District,21.2,"$12,026","$61,906"
316,Travis Unified School District,21.21,"$10,877","$97,859"
317,Palm Springs Unified School District,21.23,"$14,951","$46,335"
318,William S Hart Union High School District,21.26,"$10,579","$99,477"
319,Plumas Elementary School District,21.28,"$10,406","$100,412"
320,Soulsbyville Elementary School District,21.42,"$9,189","$76,829"
321,Delphic Elementary School District,21.42,"$11,918","$62,321"
322,Le Grand Union Elementary School District,21.43,"$14,440","$48,906"
323,Fieldbrook Elementary School District,21.48,"$10,583","$69,375"
324,Elkins Elementary School District,21.57,"$16,333","$38,750"
325,Sutter Union High School District,21.66,"$10,293","$70,789"
326,San Antonio Union Elementary School District,21.71,"$14,116","$50,433"
327,Arcadia Unified School District,21.74,"$11,607","$94,347"
328,Westminster School District,21.77,"$11,694","$63,266"
329,Summerville Union High School District,21.8,"$11,859","$62,365"
330,Delhi Unified School District,21.81,"$13,235","$55,045"
331,Jefferson Elementary School District,21.83,"$9,948","$103,234"
332,Jamul-Dulzura Union School District,21.84,"$10,857","$98,409"
333,Gilroy Unified School District,21.85,"$11,239","$96,385"
334,Pleasant Ridge Union Elementary School District,22.09,"$10,500","$69,389"
335,Placentia-Yorba Linda Unified,22.1,"$11,108","$97,253"
336,Rio Bravo-Greeley Union School District,22.19,"$10,259","$101,833"
337,Pleasant Grove Joint Union Elementary School District,22.26,"$9,880","$72,563"
338,Canyon Elementary School District,22.58,"$13,556","$84,583"
339,Garfield Elementary School District,22.59,"$12,355","$90,972"
340,San Miguel Joint Union Elementary School District,22.63,"$11,107","$65,785"
341,Rosedale Union Elementary School District,22.79,"$10,896","$98,870"
342,Martinez Unified School District,22.81,"$11,112","$97,734"
343,Temple City Unified School District,22.98,"$10,788","$67,233"
344,South Bay Union School District,23.05,"$13,642","$52,011"
345,Windsor Unified School District,23.08,"$11,332","$96,757"
346,Escalon Unified School District,23.1,"$10,368","$69,380"
347,El Segundo Unified School District,23.19,"$10,959","$98,813"
348,Santa Maria-Bonita School District,23.21,"$12,298","$59,041"
349,Trinity Center Elementary School District,23.28,"$21,917","$40,625"
350,Sacramento City Unified School District,23.41,"$12,722","$56,651"
351,Briggs School District,23.51,"$11,557","$62,772"
352,Stone Corral Elementary School Districtrict,23.72,"$15,989","$39,063"
353,Lodi Unified School District,23.78,"$11,165","$64,665"
354,Mcswain Union Elementary School District,24.17,"$10,513","$101,875"
355,New Hope Elementary School District,24.28,"$15,356","$42,031"
356,Knightsen Elementary School District,24.35,"$10,318","$103,036"
357,Butteville Elementary School District,24.39,"$10,459","$67,989"
358,Mother Lode Union Elementary School District,24.53,"$10,606","$67,108"
359,Newman-Crows Landing Unified School District,24.57,"$11,775","$60,868"
360,Rialto Unified School District,24.59,"$12,504","$56,977"
361,Round Valley Unified School District,24.65,"$16,024","$38,224"
362,Burnt Ranch Elementary School District,24.68,"$15,000","$43,646"
363,Biggs Unified School District,24.7,"$11,944","$59,872"
364,Lewiston Elementary School District,24.71,"$16,097","$37,794"
365,Plumas Unified School District,24.73,"$13,197","$53,194"
366,Desert Sands Unified School District,24.9,"$12,561","$56,458"
367,Gateway Unified School District,24.96,"$14,200","$47,700"
368,Walnut Valley Unified School District,24.99,"$10,783","$101,018"
369,Pacheco Union Elementary School District,25.01,"$10,520","$67,228"
370,Curtis Creek Elementary School District,25.02,"$11,875","$60,018"
371,Columbia Elementary School District,25.13,"$11,192","$63,571"
372,Paramount Unified School District,25.13,"$12,942","$54,267"
373,Pacific Union Elementary School District,25.2,"$15,239","$42,011"
374,Lassen Union High School District,25.29,"$11,560","$61,498"
375,Oakdale Joint Unified School District,25.43,"$11,048","$64,123"
376,Escondido Union Elementary School District,25.48,"$10,895","$64,901"
377,Kit Carson Elementary School District,25.49,"$12,916","$54,155"
378,Manchester Union Elementary School District,25.56,"$20,325","$50,694"
379,Compton Unified School District,25.6,"$13,338","$51,835"
380,Manzanita Elementary School District,25.61,"$10,213","$68,438"
381,Salinas City Elementary School District,25.82,"$12,196","$57,746"
382,Chawanakee Joint Unified School District,25.88,"$11,529","$61,250"
